Feature,Coefficient,Absolute_Coefficient
GenHlth,0.6609740190818546,0.6609740190818546
BMI,0.515630408233604,0.515630408233604
Age,0.43489225772929946,0.43489225772929946
HighBP,0.3858617809148853,0.3858617809148853
HighChol,0.3276347828156335,0.3276347828156335
CholCheck,0.21867767427776133,0.21867767427776133
HvyAlcoholConsump,-0.17700289828326726,0.17700289828326726
Income,-0.14349417905593045,0.14349417905593045
Sex,0.13323895038256178,0.13323895038256178
PhysHlth,-0.07844425357127174,0.07844425357127174
HeartDiseaseorAttack,0.04008383764112008,0.04008383764112008
AnyHealthcare,0.039656399675614455,0.039656399675614455
Education,-0.030324149244400658,0.030324149244400658
Veggies,0.022135646027234106,0.022135646027234106
Fruits,-0.018586659460494263,0.018586659460494263
